x,y,z,gtx,gty
-0.783632,-1.28066,2.87285,-0.03993,0.34495
-0.84536,-1.28089,2.88367,-0.07212,0.34538
-0.84536,-1.28089,2.88367,-0.10862,0.34689
-0.84536,-1.28089,2.88367,-0.14705,0.34905
-0.599303,-1.3628,2.91514,-0.18328,0.35196
-0.599303,-1.3628,2.91514,-0.22131,0.35525
-0.598659,-1.36201,2.91449,-0.24033,0.35581
-0.59872,-1.36386,2.9165,-0.2402,0.35592
-0.596441,-1.36449,2.91513,-0.24015,0.35595
-0.593374,-1.36426,2.91212,-0.24024,0.35589
-0.591919,-1.36645,2.9137,-0.24004,0.35596
