[-2.62146, -1.64418, 3.51894]
[-2.61932, -1.64346, 3.51638]
[-0.023559, -0.512166, 1.08927]
[0.0339488, -0.488822, 1.04032]
[0.0425369, -0.488345, 1.05782]
[0.292573, 0.399994, -0.868565]
[-0.053599, -0.467323, 1.05204]
[0.0725775, -0.472608, 1.05564]
[-0.0527983, -0.465998, 1.05111]
[0.0603632, -0.465534, 1.06213]
[-2.39998, -1.39458, 3.22151]
[-0.0898905, -0.457101, 1.05151]
[0.0610478, -0.463413, 1.06363]
[-2.40255, -1.39578, 3.22517]
[0.0944753, -0.457701, 1.06126]
[-0.0955775, -0.437476, 1.03726]
[-0.0949763, -0.451648, 1.05698]
[-2.453, -1.38101, 3.30536]
[0.10112, -0.445929, 1.05794]
[-0.101536, -0.411295, 1.01071]
[0.1136, -0.422594, 1.05483]
[-1.7891, -0.843207, 2.26261]
[-1.79033, -0.84407, 2.26871]
[-2.32441, -1.11147, 2.98704]
[-2.366, -1.18162, 3.17581]
[-1.79143, -0.844471, 2.27002]
[-2.32251, -1.11044, 2.98472]
[-2.36313, -1.17999, 3.17225]
[-2.44597, -1.2443, 3.37075]
[-2.42244, -1.24181, 3.36398]
[-1.57529, -0.848023, 2.31032]
[-1.64547, -0.923486, 2.53984]
[-0.478296, -0.295981, 0.768797]
[-0.705159, -0.412811, 1.1418]
[-0.0701742, -0.38869, 1.11405]
[-0.706602, -0.391806, 1.15182]
[0.283264, 0.311897, -0.906908]
[0.0279071, -0.385977, 1.1236]
[0.0412795, -0.382254, 1.1215]
[7.26571, 3.05388, -9.04619]
[-1.60898, -0.788422, 2.3382]
[-0.735901, -0.394784, 1.18182]
[-0.707337, -0.386408, 1.15385]
[0.0270369, -0.375453, 1.1186]
[0.0426537, -0.375479, 1.10868]
[-0.922941, -0.382137, 1.15963]
[0.022714, -0.363002, 1.11309]
[0.0415006, -0.355921, 1.11469]
[-0.161646, -0.307625, 1.00489]
[0.0460629, -0.336643, 1.08934]
[0.129242, -0.319159, 1.02674]
[0.0526414, -0.341399, 1.14155]
[0.135281, -0.266914, 1.02406]
[-0.85388, -0.28919, 1.17573]
[-0.116444, -0.246924, 0.996241]
[-0.954485, -0.281323, 1.16509]
[-0.820607, -0.289425, 1.18779]
[-0.798196, -0.285772, 1.17796]
[-0.694356, -0.275585, 1.14133]
[-0.683034, -0.276561, 1.14818]
[-0.117961, -0.242585, 0.993519]
[0.137775, -0.247974, 1.02435]
[-0.653432, -0.269506, 1.13739]
[-0.541978, -0.278913, 1.16784]
[-0.255784, -0.297699, 1.25892]
[-0.216692, -0.280215, 1.20029]
[-0.135649, -0.252092, 1.05845]
[0.143644, -0.24192, 1.02276]
[0.143658, -0.241892, 1.02282]
[-0.40254, -0.267298, 1.17275]
[-0.269958, -0.281488, 1.20681]
[-0.216283, -0.279751, 1.19894]
[-0.19554, -0.273854, 1.18018]
[0.0481227, -0.239845, 1.02474]
[-0.635071, -0.262377, 1.15747]
[-0.628719, -0.263576, 1.15827]
