x,y,z,gtx,gty
-0.790545,-0.557849,2.94853,-9.0951e-06,-6.1285e-07
-0.82221,-0.553206,2.96506,1.3446e-05,1.2546e-05
-0.854091,-0.549321,2.97984,7.6027e-06,-8.078e-06
-0.885699,-0.545648,2.99389,1.4126e-06,-4.7993e-06
-0.918059,-0.540954,3.00732,2.1908e-06,9.8542e-06
-0.94815,-0.537151,3.0183,2.4277e-05,-4.3108e-06
-0.971594,-0.533584,3.03479,1.0204e-05,1.2954e-05
-0.974217,-0.532444,3.04188,-1.6641e-06,-1.487e-05
-0.975548,-0.533885,3.04797,-5.4077e-06,-2.3286e-05
-0.984895,-0.535674,3.05374,6.7538e-06,1.3284e-05
-1.00267,-0.535523,3.06214,-3.3466e-06,1.778e-05
-1.01976,-0.533305,3.07194,-8.7564e-06,-4.668e-06
-1.04765,-0.531713,3.08878,-5.3218e-06,1.9756e-05
-1.08121,-0.529476,3.10655,-1.3936e-05,5.8547e-06
-1.10962,-0.530422,3.11972,-1.2388e-05,-1.7346e-07
-1.1436,-0.5309,3.13402,-2.1359e-05,2.1725e-05
-1.19102,-0.524613,3.15763,-1.6561e-05,2.6536e-05
-1.23927,-0.510285,3.17047,-9.5383e-06,1.8799e-05
-1.27887,-0.500291,3.17974,-4.5664e-06,-5.5014e-06
-1.31648,-0.492028,3.19203,-3.4688e-05,-4.9197e-06
-1.35897,-0.484,3.2096,-1.6097e-05,3.5892e-06
-1.40065,-0.473703,3.22818,-6.3045e-06,-4.2679e-06
-1.43943,-0.467569,3.24463,-1.5256e-05,-7.9963e-06
-1.4798,-0.461635,3.2639,-3.2512e-05,1.9624e-05
-1.5196,-0.455716,3.28054,-1.5101e-05,8.5393e-06
-1.56152,-0.446212,3.29778,-7.7905e-06,-2.9584e-06
-1.60892,-0.434257,3.31758,-7.3238e-06,-1.0506e-05
-1.65264,-0.427809,3.338,-1.1819e-06,9.2484e-06
-1.69202,-0.421336,3.35702,-1.4741e-06,2.3651e-06
-1.73607,-0.408195,3.37461,4.8461e-06,-1.721e-05
-1.78358,-0.390449,3.39196,-1.582e-05,-1.1741e-06
-1.82758,-0.378819,3.41075,6.4996e-06,-3.2155e-07
-1.86946,-0.369492,3.42784,-4.9382e-06,7.3135e-06
-1.91077,-0.364171,3.44589,-6.328e-06,1.5033e-06
-1.95374,-0.356156,3.46431,-1.4451e-05,4.8429e-06
-2.00006,-0.34459,3.48395,-1.7208e-05,2.3105e-06
-2.04569,-0.333428,3.50359,-7.3183e-06,1.8067e-05
-2.08517,-0.328978,3.52105,-2.1531e-06,1.1796e-05
-2.1257,-0.32217,3.53848,-1.8425e-05,1.2355e-05
-2.1685,-0.310166,3.55799,-2.1834e-05,6.3374e-06
-2.20573,-0.306581,3.5763,-1.0306e-05,6.1451e-06
-2.24195,-0.300993,3.59451,-1.5803e-05,5.6191e-06
-2.27873,-0.292049,3.61302,-4.4132e-06,7.1187e-06
-2.31406,-0.281771,3.61918,-7.9186e-06,-1.4433e-05
-2.35172,-0.270281,3.63152,-1.7435e-05,1.2213e-05
-2.38886,-0.258927,3.63629,-1.0583e-05,2.1521e-05
-2.43652,-0.243748,3.65405,2.9201e-06,5.2501e-07
-2.47407,-0.226785,3.65737,8.5617e-06,-4.7637e-06
-2.51463,-0.208186,3.66134,-1.9394e-05,8.057e-06
-2.55034,-0.196027,3.66123,-2.7344e-05,1.6611e-05
-2.58178,-0.186371,3.65976,-2.0337e-05,2.2048e-05
-2.61046,-0.177453,3.65958,-4.6186e-05,4.3875e-05
-2.63173,-0.17192,3.65917,-1.7233e-06,1.0485e-05
-2.64545,-0.168466,3.65997,-1.9102e-05,-7.3422e-06
-2.65711,-0.166027,3.65998,-5.3334e-06,9.1903e-07
-2.66794,-0.163954,3.66066,-1.0664e-05,6.4454e-06
-2.68156,-0.160202,3.66417,7.4823e-06,-1.8727e-05
-2.70267,-0.155397,3.66643,2.1031e-06,1.2909e-05
-2.73082,-0.149356,3.66929,-1.7665e-05,1.3565e-06
-2.76887,-0.138905,3.67371,-5.579e-06,-5.1616e-06
-2.81588,-0.122055,3.67601,-1.2229e-05,1.1354e-05
-2.86588,-0.104116,3.6809,-5.7681e-07,2.3451e-05
-2.91638,-0.0842129,3.6913,4.3456e-06,2.1e-05
-2.96531,-0.0637852,3.70309,-3.1658e-06,1.8617e-05
-3.00985,-0.0442693,3.71421,-1.3931e-05,9.5469e-06
-3.04608,-0.0270441,3.71985,-4.3637e-06,-9.347e-08
-3.08162,-0.00957308,3.7251,1.2295e-05,-1.055e-05
-3.11996,0.0104484,3.73224,-4.8055e-06,-9.8652e-06
-3.15573,0.017241,3.73137,-9.1152e-06,1.294e-05
-3.18898,0.0322507,3.73368,-1.9811e-05,1.9974e-05
-3.22294,0.0479966,3.73567,-4.0639e-05,-9.5878e-06
-3.25619,0.058409,3.73427,-2.6685e-05,8.6228e-06
-3.28666,0.0695145,3.7323,-1.0804e-05,7.1085e-06
-3.30657,0.0752839,3.72222,-1.6495e-05,-5.8581e-06
-3.33153,0.087771,3.71124,-6.8739e-06,1.6126e-05
-3.35971,0.104622,3.69892,-2.6089e-05,1.3098e-05
-3.38857,0.125165,3.68399,-2.5171e-05,1.2839e-05
-3.41556,0.143778,3.66602,-1.011e-05,5.7157e-06
-3.44414,0.162513,3.64651,-1.8291e-05,3.1687e-05
-3.47215,0.181316,3.62627,-1.8289e-05,2.3235e-05
-3.49958,0.200177,3.60529,-2.491e-05,1.1347e-05
-3.5264,0.219087,3.58359,-6.8389e-08,2.1908e-05
-3.55261,0.238037,3.56119,-5.8385e-06,2.4613e-05
-3.57819,0.257016,3.53809,-8.6839e-06,1.2162e-05
-3.60312,0.276015,3.51431,4.3353e-06,-3.4793e-06
-3.62739,0.295025,3.48986,1.3564e-06,-2.0541e-05
-3.65099,0.314036,3.46477,-3.9355e-06,3.5897e-06
-3.67389,0.333037,3.43903,-2.0733e-06,6.0522e-06
-3.6961,0.35202,3.41268,-3.9855e-06,2.2811e-05
-3.71759,0.370975,3.38572,-4.9818e-06,1.0739e-05
-3.73835,0.389892,3.35817,-1.6861e-05,1.1807e-05
-3.75837,0.408761,3.33004,-2.7233e-05,1.7187e-06
-3.77763,0.427573,3.30135,-2.8527e-05,6.9324e-06
-3.79614,0.446319,3.27213,-3.029e-06,1.6998e-05
-3.81387,0.464989,3.24238,-2.5927e-05,1.376e-05
-3.83081,0.483573,3.21212,-1.228e-05,1.908e-05
-3.84696,0.502062,3.18137,-4.1629e-05,2.2472e-05
-3.86231,0.520446,3.15016,-2.2602e-05,3.6694e-05
-3.87684,0.538717,3.11849,-2.5765e-05,3.3289e-05
-3.89054,0.556865,3.08638,-2.7055e-05,1.6852e-05
-3.90342,0.574881,3.05386,-3.8437e-05,1.9354e-05
-3.91546,0.592756,3.02094,-3.1956e-05,-1.3702e-06
-3.92665,0.61048,2.98765,-3.76e-05,-1.4187e-06
-3.93699,0.628046,2.95399,-2.8719e-05,2.6573e-05
-3.94647,0.645443,2.92,-3.9832e-05,2.3785e-05
-3.95509,0.662663,2.88569,-1.4701e-05,5.3289e-06
-3.96284,0.679699,2.85108,-4.8412e-05,1.4096e-05
-3.96971,0.69654,2.8162,-2.2578e-05,4.3123e-05
-3.9757,0.713179,2.78105,-2.9501e-05,1.5071e-05
-3.98081,0.729607,2.74567,-2.1428e-05,2.1237e-05
-3.98503,0.745816,2.71007,-3.1802e-05,2.5816e-05
-3.98837,0.761799,2.67427,-9.6406e-06,9.0962e-06
-3.99081,0.777546,2.6383,-1.6997e-05,1.7099e-05
-3.99236,0.793051,2.60217,-2.579e-05,2.5599e-05
-3.99301,0.808306,2.56591,-4.5484e-07,1.7035e-05
-3.99277,0.823303,2.52954,-1.9949e-05,2.3654e-05
-3.99164,0.838035,2.49307,-9.498e-06,1.2248e-05
-3.98961,0.852494,2.45654,1.8277e-06,1.3355e-05
-3.98668,0.866673,2.41995,-1.886e-06,-1.0585e-05
-3.98286,0.880567,2.38334,-9.5567e-06,1.8135e-05
-3.97815,0.894167,2.34672,-1.7795e-06,1.6667e-05
-3.97255,0.907467,2.31012,-2.4828e-05,3.2022e-05
-3.97351,0.915479,2.27645,5.3152e-06,-9.2009e-06
-3.97185,0.923002,2.24832,-2.3275e-05,1.4778e-05
-3.97007,0.930721,2.22069,-3.978e-05,2.6369e-05
-3.96765,0.937758,2.19521,-3.3269e-05,2.5608e-06
-3.96515,0.943412,2.17171,-2.2775e-05,2.5695e-05
-3.963,0.948465,2.15052,-3.2049e-05,3.0908e-05
-3.96075,0.952656,2.1302,-2.3787e-05,3.5279e-06
-3.95722,0.957036,2.10804,-2.0443e-05,-1.0136e-06
-3.95193,0.961863,2.08304,-1.343e-05,8.5334e-06
-3.94394,0.967509,2.05451,-3.0249e-05,5.4714e-06
-3.93513,0.973269,2.02535,-2.4086e-05,-1.5775e-05
-3.92463,0.979872,1.99455,1.5471e-05,1.7365e-05
-3.91474,0.986392,1.96378,-1.378e-05,-1.0517e-05
-3.90358,0.993204,1.93224,-2.7289e-05,1.9648e-06
-3.89249,0.998751,1.90319,-4.3383e-08,2.7901e-07
-3.88266,1.00364,1.87852,-1.4389e-05,1.0104e-05
-3.8705,1.00917,1.8525,-3.7994e-06,1.9695e-05
-3.85921,1.01275,1.83031,7.2722e-07,3.0046e-06
-3.84625,1.01678,1.80608,3.1295e-06,1.0022e-05
-3.8339,1.01901,1.7842,7.0108e-06,-8.9245e-06
-3.82241,1.02065,1.76373,-2.0824e-05,9.4067e-06
-3.81123,1.02178,1.74424,-6.5337e-06,6.4875e-06
-3.79974,1.02294,1.72477,-1.0708e-05,1.5052e-05
-3.78752,1.02241,1.70693,-2.4036e-05,2.8321e-05
-3.77416,1.02328,1.68636,-1.5411e-06,2.606e-05
-3.76082,1.02321,1.6669,-1.4417e-05,9.889e-06
-3.74515,1.02494,1.6443,-4.9534e-05,3.8226e-05
-3.72903,1.02684,1.62138,-1.488e-05,1.8872e-05
-3.71301,1.02924,1.59821,-1.877e-05,1.5993e-05
-3.69882,1.03412,1.57619,-9.5364e-06,5.3121e-06
-3.68702,1.03928,1.55597,-3.0445e-05,2.7155e-05
-3.67539,1.04277,1.5367,-1.5658e-05,3.9508e-06
-3.66357,1.04586,1.51686,-2.3728e-05,1.9554e-05
-3.65219,1.04957,1.49817,-3.7479e-05,1.6213e-05
-3.64103,1.05059,1.47989,-3.4069e-05,2.6367e-05
-3.62879,1.05106,1.45989,-7.6171e-06,2.6466e-05
-3.61743,1.05012,1.44376,-1.7976e-05,1.2098e-05
-3.60471,1.04918,1.42605,2.9184e-06,2.1107e-05
-3.59002,1.04816,1.40763,-1.5235e-05,2.8394e-05
-3.57602,1.04637,1.39071,-2.6697e-05,8.0765e-06
-3.55942,1.04495,1.37235,-5.184e-06,6.3692e-06
-3.541,1.04314,1.35456,8.9436e-06,6.1986e-06
-3.52468,1.04304,1.339,1.6474e-06,1.0287e-05
-3.53176,1.02733,1.33295,-2.1067e-05,3.9109e-05
-3.52748,1.00839,1.31869,-1.7697e-06,2.9439e-05
-3.51431,0.994983,1.29956,1.4816e-05,3.71e-05
-3.50116,0.983277,1.27668,-1.8936e-05,7.3726e-06
-3.47734,0.974223,1.25089,-2.093e-05,3.5103e-06
-3.4477,0.968783,1.22605,-5.1528e-06,9.5446e-06
-3.41687,0.968248,1.20142,-9.4805e-06,1.2159e-05
-3.37941,0.965543,1.17724,-2.3259e-06,1.1943e-06
-3.29107,0.980867,1.14548,-6.9923e-06,1.0935e-05
-3.20094,0.997221,1.11984,-2.65e-05,-1.4069e-05
-3.17141,0.994765,1.10474,-3.5569e-05,4.2739e-05
-3.1423,0.993071,1.09198,-4.0813e-05,1.1529e-06
-3.13406,0.996024,1.08556,-1.7534e-05,7.7724e-06
-3.12904,0.9981,1.08133,-4.7711e-05,1.0054e-05
-3.12923,1.0008,1.07856,-1.6683e-05,7.2466e-06
-3.13154,1.0042,1.07604,-3.4262e-05,3.2121e-05
-3.13413,1.0071,1.07462,-2.9389e-05,2.0232e-05
-3.13794,1.00832,1.07369,-2.8412e-05,2.5558e-05
-3.14187,1.0098,1.07306,-2.2414e-05,2.7765e-05
-3.14618,1.01027,1.07175,-3.4287e-05,2.4317e-05
-3.14979,1.01126,1.07039,-3.8685e-05,3.8292e-05
-3.15098,1.00342,1.06827,-2.7687e-05,1.9407e-05
-3.15514,1.00464,1.06756,-1.7809e-05,1.5845e-05
-3.15971,1.00554,1.06617,-4.1062e-05,3.5539e-05
-3.16497,1.0069,1.06464,-8.8965e-06,2.3035e-05
-3.16919,1.00745,1.06278,-2.097e-05,2.5334e-05
-3.17168,1.00819,1.06153,-1.209e-05,2.5233e-05
-3.17453,1.00951,1.05964,5.5331e-06,1.6813e-05
-3.17774,1.01114,1.0582,3.5147e-06,3.5279e-06
-3.18161,1.01303,1.05626,7.8252e-06,-1.1199e-05
-3.18391,1.016,1.0551,-1.0777e-06,1.933e-05
-3.16926,1.01796,1.04089,-1.4657e-05,1.1383e-05
-3.1551,1.01496,1.03006,8.9954e-07,4.1952e-06
-3.13803,1.01295,1.01963,2.5201e-06,-2.7176e-05
-3.12211,1.00988,1.00964,-3.5372e-06,2.9492e-05
-3.10232,1.00795,0.999949,-1.4574e-05,2.035e-05
-3.08331,1.00569,0.991385,-7.185e-06,3.2816e-05
-3.06677,1.00391,0.983112,2.0731e-06,1.8638e-05
-3.0484,1.00343,0.974418,-1.3057e-05,3.3133e-05
-3.03227,1.00278,0.96392,-3.1968e-05,6.8646e-06
-3.01735,1.00354,0.954027,-1.0109e-05,2.9348e-05
-3.00644,1.00387,0.945404,-2.4932e-05,2.2779e-05
-2.99484,1.00469,0.936745,-2.1604e-05,2.6729e-05
-2.98421,1.00453,0.927847,0.00012055,-4.5257e-05
-2.97333,1.00444,0.91897,9.1376e-05,-2.8529e-05
-2.96028,1.00383,0.909126,9.478e-05,-2.7864e-05
-2.94804,1.00217,0.89954,6.9513e-05,-4.8799e-05
-2.93402,1.00002,0.889629,0.00010012,-4.5742e-05
-2.91818,0.997822,0.879154,7.8509e-05,-2.9488e-05
-2.90107,0.994634,0.869189,9.78e-05,-4.8802e-05
-2.88183,0.991789,0.859647,0.00012326,-4.8399e-05
-2.86099,0.98826,0.85046,8.2652e-05,-2.3728e-05
-2.83665,0.985722,0.841997,8.1739e-05,-2.8963e-05
-2.81258,0.984277,0.833409,9.1526e-05,-6.5978e-05
-2.7903,0.983445,0.82513,9.9526e-05,-6.5636e-05
-2.7691,0.982456,0.817004,9.0241e-05,-4.8376e-05
-2.74943,0.980102,0.809346,6.9271e-05,-6.7925e-05
-2.72848,0.979112,0.801921,4.8082e-05,-4.0534e-05
-2.70698,0.976584,0.794351,4.6857e-05,-4.4834e-05
-2.68085,0.975039,0.786895,7.052e-05,-4.2961e-05
-2.6503,0.973692,0.779342,6.5282e-05,-5.0753e-05
-2.61655,0.973733,0.772954,5.8801e-05,-5.4697e-05
-2.58999,0.96678,0.760914,4.4063e-05,-4.0368e-05
-2.56907,0.957,0.750272,4.4321e-05,-4.0868e-05
-2.54405,0.94824,0.738549,6.0724e-05,-5.4862e-05
-2.51714,0.941733,0.721381,5.0172e-05,-2.9742e-05
-2.4874,0.936553,0.704726,4.3314e-05,-3.7043e-05
-2.44934,0.933403,0.684769,2.6041e-05,-6.9878e-05
-2.41318,0.929712,0.665632,4.5108e-05,-7.2819e-05
-2.37973,0.925614,0.645696,2.9758e-05,-4.9204e-05
-2.34502,0.923132,0.624436,2.2171e-05,-5.6589e-05
-2.30786,0.92035,0.605873,1.8864e-05,-3.937e-05
-2.27523,0.913982,0.586243,7.449e-05,-3.4233e-05
-2.23766,0.911194,0.56758,7.8507e-05,-7.1582e-05
-2.19633,0.912984,0.545795,7.2035e-05,-8.2859e-05
-2.15259,0.915485,0.524838,5.4692e-05,-0.00012087
-2.10742,0.917517,0.503695,5.3818e-05,-0.00012804
-2.06223,0.922615,0.481828,1.7484e-05,-0.00018418
-2.01989,0.929726,0.467447,3.879e-05,-0.00016378
-1.97799,0.936144,0.451858,2.1861e-05,-0.00016618
-1.93404,0.942387,0.436096,4.3294e-05,-0.00014549
-1.88954,0.948824,0.421554,0.00018459,-5.3437e-05
-1.84906,0.954059,0.40756,0.00021022,-1.6586e-05
-1.81497,0.957055,0.393975,3.2212e-05,-0.0001318
-1.78108,0.9575,0.382724,-5.2425e-06,-0.00016245
-1.73973,0.958931,0.371258,-1.4734e-05,-0.00016752
-1.69758,0.962847,0.359809,-2.523e-05,-0.00015315
-1.6519,0.968504,0.34658,-2.6326e-05,-0.00018317
-1.60441,0.975055,0.331806,5.9525e-06,-0.00016227
-1.55606,0.981737,0.31964,8.2298e-06,-9.2808e-05
