 -0.2767354, -0.080614597, 0.63491976;
 -0.26802561, -0.058550365, 0.61505222;
 -0.26290402, -0.021331757, 0.60345697;
 -0.25891718, -0.0053019687, 0.59404302;
 -1.3259232, -1.6728461, 3.2494721;
 -1.2331496, -1.4624515, 3.02213;
 -1.0837716, -1.2104963, 2.6562603;
 -1.0081005, -1.046773, 2.4713914;
 -1.0181378, -0.97972089, 2.4960091;
 -0.34169632, -0.20203505, 0.83912164;
 -0.3188788, -0.16961519, 0.78175074;
 -0.30874786, -0.14009233, 0.75712073;
 -0.28442848, -0.066378981, 0.69743884;
 -0.27730578, -0.045046613, 0.68021142;
 -0.26733771, -0.023359839, 0.65564525;
 -0.18157372, 0.050522495, 0.44524404;
 -1.3530285, -1.8489715, 3.5887055;
 -1.2368687, -1.5887101, 3.2806625;
 -1.0085111, -1.2189392, 2.6754365;
 -0.93067253, -1.0456816, 2.4696438;
 -0.94716269, -0.98618197, 2.5134063;
 -0.91390741, -0.88260376, 2.4255886;
 -0.29031438, -0.14280358, 0.77050757;
 -0.26575968, -0.088403247, 0.70561564;
 -0.25781751, -0.064704798, 0.68444151;
 -0.2551499, -0.044666369, 0.6775474;
 -0.25223991, -0.023602601, 0.66971391;
 -0.16632821, 0.0051771211, 0.44146693;
 -0.17460133, 0.033579193, 0.46320871;
 -0.1474189, 0.067913882, 0.39138338;
 -1.2490132, -1.8608545, 3.6099896;
 -1.1524265, -1.6140028, 3.3308532;
 -0.96288502, -1.2688339, 2.783515;
 -0.81373566, -0.99594194, 2.3534665;
 -0.81568909, -0.92510092, 2.3591499;
 -0.738069, -0.77702969, 2.1350152;
 -0.42763191, -0.34061313, 1.2367984;
 -0.27749068, -0.14869843, 0.80263853;
 -0.246484, -0.089604281, 0.71312183;
 -0.23562108, -0.06463632, 0.68162167;
 -0.22513434, -0.042422768, 0.65182906;
 -0.21218872, -0.020696906, 0.61443985;
 -0.15606274, 0.0067078522, 0.45105878;
 -0.13114136, 0.065424755, 0.37929824;
 -0.11995296, 0.090687148, 0.34681997;
 -0.11745248, 0.098327689, 0.33959672;
 -1.2319423, -2.0168033, 3.9115181;
 -1.175299, -1.8088276, 3.731657;
 -1.1192614, -1.6204597, 3.5542204;
 -0.82780266, -1.1127005, 2.6302466;
 -0.64282799, -0.74358946, 2.0431015;
 -0.37188843, -0.36214685, 1.1816885;
 -0.37190217, -0.32551572, 1.1817256;
 -0.27452835, -0.16183697, 0.87233067;
 -0.23585969, -0.1169237, 0.75005358;
 -0.20502658, -0.061793916, 0.65163255;
 -0.20412278, -0.04367419, 0.6486367;
 -0.15358089, -0.0044984887, 0.48782775;
 -0.15192097, 0.010812121, 0.48264107;
 -1.061447, -1.8138099, 3.7384984;
 -1.0839041, -1.7429497, 3.8179522;
 -0.7628209, -1.1380348, 2.6888494;
 -0.64123499, -0.88648921, 2.2607229;
 -0.62504989, -0.80253857, 2.2037697;
 -0.3368009, -0.36406317, 1.1872424;
 -0.32805932, -0.31850576, 1.1565559;
 -0.31466475, -0.27074969, 1.1095295;
 -0.28819212, -0.22017185, 1.0159001;
 -0.26036891, -0.17033817, 0.91787291;
 -0.13872762, -0.017941913, 0.48893565;
 -0.13460065, -0.0042213304, 0.47435907;
 -0.13447735, 0.01071603, 0.47400457;
 -0.13229842, 0.025203306, 0.46639106;
 -0.11064952, 0.0552148, 0.39010844;
 -0.092738584, 0.085436076, 0.32678986;
 -0.087594554, 0.097019389, 0.30846509;
 -0.81944513, -1.476825, 3.241673;
 -0.77049434, -1.2914194, 3.0490158;
 -0.64146072, -0.99653232, 2.5388432;
 -0.62229562, -0.89804906, 2.4630687;
 -0.32302228, -0.42811856, 1.2783868;
 -0.31203422, -0.37890831, 1.2350085;
 -0.29828978, -0.32503825, 1.1809529;
 -0.27350107, -0.26418814, 1.0830033;
 -0.26467699, -0.22584929, 1.0484582;
 -0.2414525, -0.17630394, 0.95651108;
 -0.12602575, -0.0042245914, 0.49880803;
 -0.1153468, 0.010162941, 0.45645657;
 -0.11081789, 0.023467826, 0.43855885;
 -0.082227863, 0.08511211, 0.32535928;
 -0.081054099, 0.092490532, 0.32061443;
 -0.07775902, 0.097270936, 0.30743462;
 -0.86928362, -2.1229081, 3.9207525;
 -0.62653506, -1.1978946, 2.8265891;
 -0.60038483, -1.0638913, 2.7087638;
 -0.5866003, -0.96558887, 2.6466606;
 -0.28043219, -0.42262959, 1.2661046;
 -0.27966326, -0.38753414, 1.2617333;
 -0.26081318, -0.32380348, 1.1774747;
 -0.23766619, -0.26169163, 1.0730844;
 -0.22896454, -0.22265126, 1.0343101;
 -0.14025691, -0.098962672, 0.6335212;
 -0.13744538, -0.077797554, 0.62074172;
 -0.083352506, 0.052303128, 0.375855;
 -0.081830785, 0.063337661, 0.36916921;
 -0.073434472, 0.076268859, 0.33122718;
 -0.072110184, 0.085089311, 0.32528251;
 -0.07035917, 0.091958098, 0.31740087;
 -0.069168754, 0.10005205, 0.31201434;
 -0.62595457, -1.5588052, 3.231205;
 -0.60528815, -1.4194285, 3.1250684;
 -0.59975731, -1.31214, 3.0957434;
 -0.56463146, -1.1449153, 2.9146695;
 -0.54841274, -1.0330085, 2.8310726;
 -0.25561076, -0.40509191, 1.3196875;
 -0.24362598, -0.34609661, 1.258647;
 -0.20585719, -0.25951904, 1.0635509;
 -0.13172752, -0.12597622, 0.6804589;
 -0.12439356, -0.10062187, 0.64287639;
