time,x,y,dx,dy,
0.38258,-0.4086,0.019674,0,0
1.3531,-0.40885,0.019586,-0.00024857,-8.7518e-05
2.3429,-0.4089,0.01983,-4.8554e-05,0.00024369
3.349,-0.40892,0.01981,-2.3251e-05,-2.0046e-05
4.3429,-0.4089,0.019809,1.8966e-05,-1.2561e-06
5.3452,-0.40886,0.019783,3.9389e-05,-2.5862e-05
6.3426,-0.40922,0.019886,-0.00035823,0.00010321
7.3531,-0.40897,0.019853,0.00024694,-3.296e-05
8.3745,-0.40892,0.019757,5.0883e-05,-9.5789e-05
9.3505,-0.40846,0.019597,0.00046411,-0.00016006
10.354,-0.40809,0.019222,0.00036692,-0.00037563
11.353,-0.40826,0.01953,-0.00017157,0.00030845
12.355,-0.408,0.019451,0.00026585,-7.9177e-05
13.38,-0.36994,0.021126,0.038054,0.0016751
14.398,-0.32733,0.021086,0.042615,-4.0136e-05
15.468,-0.28177,0.019621,0.045554,-0.0014653
16.516,-0.23872,0.01792,0.043054,-0.0017012
17.534,-0.2047,0.016083,0.034018,-0.0018361
18.404,-0.18505,0.015243,0.019652,-0.00084081
19.474,-0.16131,0.01469,0.023735,-0.00055269
20.424,-0.13535,0.013677,0.025968,-0.0010126
21.388,-0.10471,0.01219,0.030634,-0.0014872
22.393,-0.072182,0.0098547,0.032529,-0.0023355
23.394,-0.037671,0.0083514,0.034511,-0.0015032
24.383,-0.00068926,0.0082186,0.036982,-0.00013283
25.365,0.03645,0.009706,0.037139,0.0014873
26.356,0.072544,0.011088,0.036094,0.0013825
27.365,0.10948,0.011668,0.036935,0.00057952
28.415,0.14847,0.011512,0.038987,-0.00015586
29.397,0.18531,0.01106,0.036839,-0.00045208
30.364,0.22134,0.010842,0.036035,-0.00021777
31.373,0.25679,0.011072,0.035454,0.00023023
32.335,0.29048,0.010312,0.03369,-0.00076024
33.354,0.32772,0.00932,0.037238,-0.00099225
34.335,0.36315,0.0075819,0.035433,-0.0017381
35.315,0.3985,0.0067102,0.035343,-0.00087172
36.354,0.44004,0.0058666,0.041544,-0.00084354
37.329,0.47957,0.0059066,0.039533,3.9979e-05
38.33,0.52021,0.0061422,0.040633,0.00023557
39.308,0.5612,0.006728,0.040997,0.00058584
40.307,0.60182,0.0080573,0.040618,0.0013293
41.335,0.64322,0.0083614,0.041402,0.00030411
42.305,0.6823,0.0077613,0.039074,-0.00060015
43.335,0.72467,0.0069502,0.04237,-0.00081111
44.301,0.76474,0.0048723,0.040069,-0.0020778
45.315,0.80792,0.0032796,0.043182,-0.0015927
46.342,0.85051,0.0015622,0.042594,-0.0017174
47.336,0.89266,0.00093244,0.042144,-0.00062974
48.335,0.93295,0.0010974,0.040289,0.00016492
49.366,0.97583,0.0019625,0.04288,0.00086515
50.385,1.0164,0.0029885,0.040575,0.001026
51.348,1.0541,0.0035157,0.0377,0.00052718
52.372,1.0955,0.0034402,0.041385,-7.5529e-05
53.366,1.1343,0.0028547,0.038773,-0.00058551
54.365,1.174,0.0012512,0.039738,-0.0016034
55.366,1.2134,-0.00044522,0.039375,-0.0016964
56.376,1.2523,-0.0018771,0.03894,-0.0014318
57.366,1.2918,-0.002865,0.039471,-0.00098794
58.425,1.3334,-0.0028248,0.041574,4.0213e-05
59.367,1.37,-0.0021592,0.036603,0.00066563
60.309,1.4069,-0.0014111,0.036956,0.0007481
61.389,1.4495,-0.0014327,0.042567,-2.1685e-05
62.387,1.4895,-0.0020317,0.040061,-0.00059891
63.346,1.5275,-0.0032481,0.037913,-0.0012164
64.398,1.5692,-0.0054047,0.041724,-0.0021566
65.377,1.6065,-0.0072186,0.03736,-0.0018139
66.366,1.6445,-0.0090778,0.037962,-0.0018591
67.388,1.6824,-0.010887,0.037864,-0.0018089
68.376,1.7197,-0.01199,0.037322,-0.0011035
69.383,1.7584,-0.012896,0.038718,-0.00090554
70.367,1.797,-0.01319,0.03855,-0.0002938
71.369,1.8357,-0.012489,0.038733,0.00070068
72.379,1.8725,-0.012217,0.036786,0.00027203
73.366,1.9081,-0.012054,0.03558,0.00016307
74.378,1.9441,-0.013104,0.03605,-0.0010499
75.379,1.9798,-0.015605,0.035738,-0.0025014
76.367,2.0159,-0.018351,0.036076,-0.0027464
77.391,2.0563,-0.020028,0.040421,-0.0016768
78.357,2.0935,-0.021934,0.037146,-0.0019057
79.374,2.132,-0.023531,0.038512,-0.0015973
80.369,2.168,-0.025457,0.036001,-0.0019254
81.359,2.1978,-0.027859,0.029796,-0.0024026
82.418,2.2377,-0.026031,0.039926,0.0018278
83.369,2.2781,-0.023954,0.040349,0.0020771
84.347,2.3142,-0.025573,0.036171,-0.0016186
85.369,2.3522,-0.026961,0.037941,-0.0013882
86.387,2.3934,-0.028846,0.041167,-0.0018846
87.382,2.4327,-0.030908,0.039324,-0.0020618
88.408,2.4669,-0.033649,0.034188,-0.0027413
89.387,2.4759,-0.039068,0.009051,-0.0054191
90.358,2.4903,-0.042056,0.014424,-0.0029876
91.336,2.5148,-0.044591,0.024507,-0.0025355
92.367,2.5582,-0.048217,0.043345,-0.0036263
93.347,2.6586,-0.063384,0.10036,-0.015167
94.318,2.689,-0.060426,0.030495,0.0029579
95.328,2.7264,-0.057649,0.037331,0.0027774
96.328,2.7491,-0.058796,0.022715,-0.0011474
97.359,2.774,-0.061586,0.024902,-0.0027896
98.397,2.8139,-0.067045,0.039886,-0.0054592
99.341,2.8895,-0.076906,0.075584,-0.0098606
100.33,2.918,-0.081426,0.028559,-0.0045198
101.36,2.9551,-0.091745,0.037052,-0.010319
